都道府県,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
　埼玉県,0.025919439579684764,0.0004310925501818672,0.000269432843863667,0.0001616597063182002,0.08861646234676007,0.1989492119089317,0.023278997709820826,0.008244645022228209,0.028856257577798732,0.01826754681395662,0.06908258116664422,0.004742018052000539,0.03642732049036777,0.0572005927522565,0.18747137276033948,0.06525663478378015,0.12221473797655934,0.030903947191162604,0.01713592886972922,0.049575643270914724,0.04636939242893709,0.06032601374107504,0.04300148188064125,0.009726525663478378,0.1316179442274013,0.02408729624141183,0.07293547083389465,0.033517445776640176,0.024033409672639096
　千葉県,0.03472177857279755,0.00022359931003641475,0.0018526799974445793,0.0004152558614961988,0.08816201367150067,0.1463936625566984,0.021433591004919185,0.005494154475180477,0.022487702037947997,0.015332524116782726,0.03900210822206606,0.006644093783939181,0.04414489235290359,0.06752699163099725,0.18264869354117422,0.06241615025873634,0.12023254328243788,0.04002427649651824,0.015396409633935987,0.056187312336293364,0.047850252347792756,0.05874273302242382,0.04586980131604165,0.009934197917332141,0.1459784066952022,0.023222385485210502,0.08720373091420175,0.03453012202133776,0.020603079281926787
　東京都,0.004087889626980072,3.0058011963088763e-05,4.508701794463314e-05,7.51450299077219e-05,0.07415311551293997,0.1338633562776158,0.012579278006552647,0.00716883585319667,0.014127265622651718,0.012789684090294268,0.04857374733235144,0.006026631398599297,0.06760046890498662,0.056494033484625325,0.18067870991012655,0.07150801046018816,0.10917069944993837,0.03752742793591632,0.028014067149598726,0.06797619405452524,0.06240043283537227,0.06414379752923141,0.043644233370404885,0.006522588595990261,0.17343472902702214,0.028795575460639034,0.08401214343683308,0.025399020108810004,0.03029847605879347
　神奈川県,0.011976723204619271,0.00013533020570191266,0.000405990617105738,0.00031577047997112957,0.0817619992782389,0.18871797185131722,0.020231865752435945,0.004014796102490076,0.018562793215445687,0.011232407073258751,0.10560267051605919,0.005706423673763984,0.05521472392638037,0.05805665824612053,0.17919974738361602,0.054741068206423674,0.12445867917719235,0.030088415734391916,0.01912666907253699,0.05575604474918802,0.04905719956694334,0.06432695777697582,0.043463551064597615,0.009495669433417538,0.14561530133525802,0.022284373872248287,0.07632623601587875,0.028148682785997834,0.022464814146517503
　新潟県,0.066117012842873,0.0007134929443475504,0.0014269858886951008,0.0020612018392262565,0.11415887109560806,0.21238306643412083,0.034881877279213575,0.027350562866656096,0.013001426985888695,0.032424290470905344,0.06706833676866973,0.00689709846202632,0.012525765022990328,0.044553670524813696,0.18273347074678928,0.0546218487394958,0.12811162200729348,0.022831774219121612,0.006738544474393531,0.04812113524655145,0.03393055335341684,0.0733312192801649,0.037260187093705405,0.015062628825114952,0.10987791342952276,0.025685745996511813,0.058030759473600764,0.03773584905660377,0.005390835579514825
　富山県,0.04043126684636118,0.0006738544474393531,0.001853099730458221,0.0011792452830188679,0.11017520215633424,0.2503369272237197,0.020889487870619946,0.01752021563342318,0.0431266846361186,0.05070754716981132,0.06805929919137467,0.00876010781671159,0.014487870619946091,0.040768194070080865,0.1667789757412399,0.04767520215633423,0.11910377358490566,0.025774932614555258,0.006064690026954178,0.0409366576819407,0.030660377358490566,0.08136792452830188,0.03824123989218329,0.016004043126684638,0.11421832884097036,0.029649595687331536,0.0545822102425876,0.03369272237196765,0.008423180592991913
　石川県,0.0312845631221362,0.0012640227524095434,0.004108073945331016,0.0004740085321535788,0.10886395955127193,0.2057197029546532,0.01880233844209196,0.04187075367356612,0.011692210459788277,0.021330383946911044,0.07204929688734397,0.004582082477484595,0.020382366882603888,0.04171275082951493,0.1805972507505135,0.05419497550955917,0.12656027808500553,0.027966503397061148,0.008848159266866804,0.06098909780376047,0.04123874229736135,0.08500553009954179,0.04123874229736135,0.015800284405119294,0.11581608468952441,0.02543845789224206,0.05656501817032707,0.033338600094801704,0.012008216147890662
　福井県,0.0419188522752746,0.0013449899125756557,0.006276619592019726,0.0008966599417171038,0.10603003810804752,0.24187401927818875,0.018381528805200626,0.06097287603676306,0.02376148845550325,0.013674064111185833,0.075543600089666,0.01546738399462004,0.014794889038332213,0.03721138758125981,0.16274377942165433,0.04528132705671374,0.1174624523649406,0.02264066352835687,0.005379959650302623,0.04595382201300157,0.03340058282896212,0.08047522976911006,0.04505716207128446,0.019054023761488455,0.11566913248150638,0.025106478368078906,0.05895539116789957,0.03138309796009863,0.005379959650302623
　山梨県,0.08150537634408603,0.001935483870967742,0.0006451612903225806,0.0008602150537634409,0.09741935483870967,0.21827956989247313,0.024086021505376344,0.015698924731182794,0.015698924731182794,0.01096774193548387,0.10236559139784947,0.004516129032258065,0.016129032258064516,0.03376344086021505,0.15806451612903225,0.043010752688172046,0.11505376344086021,0.024731182795698924,0.008387096774193548,0.06365591397849463,0.043010752688172046,0.06903225806451613,0.045806451612903226,0.015483870967741935,0.11720430107526882,0.027526881720430108,0.06301075268817204,0.036989247311827955,0.005161290322580645
　長野県,0.0987560934610859,0.0009245251302739956,0.0004202386955790889,0.001176668347621449,0.09615061354849555,0.21465792570179862,0.02353336695242898,0.004454530173138342,0.011598587997982855,0.018070263909900824,0.12506303580433686,0.005210959825180703,0.014960497562615565,0.03622457555891746,0.15481593545133637,0.041519583123213986,0.11329635232812238,0.023449319213313162,0.007312153303076148,0.06824676416204405,0.04404101529668852,0.0732055807698773,0.03580433686333838,0.018826693561943185,0.10808539250294168,0.025718608169440244,0.050596738947722306,0.03412338208102202,0.007564296520423601
